 Libcell,Min_delay,Avg_delay,Max_delay
 NOR2_X6TN_A9PP84TSL_C14 ,0.008,0.0135,0.025
 BUF_X3N_A9PP84TR_C16 ,0.016,0.02236363636363636,0.027
 INVP_X1R_A9PP84TR_C14 ,0.033,0.03394117647058825,0.034
 NAND2_X1R_A9PP84TSL_C14 ,0.009,0.0128421052631579,0.025
 OR2_X2N_A9PP84TSL_C14 ,0.012,0.025750000000000006,0.027
 BUFH_X1N_A9PP84TL_C16 ,0.008,0.010333333333333333,0.022
 NOR3_X4F_A9PP84TSL_C14 ,0.011,0.0185,0.026
 AOI22_X2N_A9PP84TSL_C14 ,0.011,0.014785714285714291,0.027
 NOR2_X1R_A9PP84TR_C14 ,0.012,0.012,0.012
 MX2_X1N_A9PP84TSL_C16 ,0.023,0.023,0.023
 INVP_X1R_A9PP84TR_C16 ,0.012,0.036962962962962934,0.125
 INV_X8N_A9PP84TR_C14 ,0.005,0.006500000000000003,0.011
 OAI21_X2N_A9PP84TR_C14 ,0.037,0.037,0.037
 NAND2_X1R_A9PP84TSL_C16 ,0.017,0.018000000000000002,0.019
 BUFH_X16N_A9PP84TSL_C14 ,0.008,0.011999999999999863,0.018
 INV_X8N_A9PP84TSL_C14 ,0.006,0.009902255639097742,0.016
 PREICG_X8N_A9PP84TL_C14 ,0.050,0.05053333333333335,0.052
 NOR4_X2F_A9PP84TR_C14 ,0.021,0.021,0.021
 INV_X8N_A9PP84TL_C14 ,0.005,0.006,0.007
 NOR2_X1R_A9PP84TR_C16 ,0.007,0.02377142857142858,0.082
 OAI21_X2N_A9PP84TSL_C14 ,0.012,0.014421052631578954,0.019
 PREICG_X7R_A9PP84TL_C14 ,0.020,0.031626666666666664,0.038
 MXT2_X4N_A9PP84TR_C14 ,0.023,0.025599999999999994,0.031
 INV_X8N_A9PP84TR_C16 ,0.005,0.005,0.005
 AOI22_X3F_A9PP84TR_C14 ,0.013,0.013,0.013
 INV_X16F_A9PP84TR_C14 ,0.004,0.0048000000000000004,0.005
 NOR3_X1P5F_A9PP84TSL_C14 ,0.006,0.013369636963696285,0.025
